Country/territory of asylum/residence,Origin,"Country/territory of asylum (earlier) (only applicable for returned refugees)",Type of population,Population,of whom assisted by UNHCR
Japan,Bangladesh,,Total Refugee and people in refugee-like situations,27,9
Japan,Bangladesh,,Asylum-seekers,427,0
Japan,Bangladesh,,Total population of concern,454,9
Japan,Benin,,Asylum-seekers,5,0
Japan,Benin,,Total population of concern,5,0
Japan,Bolivia (Plurinational State of),,Asylum-seekers,0,0
Japan,Bolivia (Plurinational State of),,Total population of concern,0,0
Japan,Brazil,,Asylum-seekers,8,0
Japan,Brazil,,Total population of concern,8,0
Japan,Burkina Faso,,Asylum-seekers,0,0
Japan,Burkina Faso,,Total population of concern,0,0
Japan,Burundi,,Total Refugee and people in refugee-like situations,8,0
Japan,Burundi,,Asylum-seekers,5,0
Japan,Burundi,,Total population of concern,13,0
Japan,Cambodia,,Asylum-seekers,537,0
Japan,Cambodia,,Total population of concern,537,0
Japan,Cameroon,,Total Refugee and people in refugee-like situations,17,6
Japan,Cameroon,,Asylum-seekers,58,0
Japan,Cameroon,,Total population of concern,75,6
Japan,China,,Total Refugee and people in refugee-like situations,69,23
Japan,China,,Asylum-seekers,320,0
Japan,China,,Total population of concern,389,23
Japan,Colombia,,Asylum-seekers,0,0
Japan,Colombia,,Total population of concern,0,0
Japan,"Congo, Republic of",,Asylum-seekers,0,0
Japan,"Congo, Republic of",,Total population of concern,0,0
Japan,Côte d'Ivoire,,Asylum-seekers,0,0
Japan,Côte d'Ivoire,,Total population of concern,0,0
Japan,Cuba,,Asylum-seekers,0,0
Japan,Cuba,,Total population of concern,0,0
Japan,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,7,0
Japan,Dem. Rep. of the Congo,,Asylum-seekers,58,0
Japan,Dem. Rep. of the Congo,,Total population of concern,65,0
Japan,Denmark,,Asylum-seekers,0,0
Japan,Denmark,,Total population of concern,0,0
Japan,Djibouti,,Asylum-seekers,0,0
Japan,Djibouti,,Total population of concern,0,0
Japan,Dominican Rep.,,Asylum-seekers,0,0
Japan,Dominican Rep.,,Total population of concern,0,0
Japan,Egypt,,Asylum-seekers,42,0
Japan,Egypt,,Total population of concern,42,0
Japan,El Salvador,,Asylum-seekers,0,0
Japan,El Salvador,,Total population of concern,0,0
Japan,Eritrea,,Asylum-seekers,0,0
Japan,Eritrea,,Total population of concern,0,0
Japan,Ethiopia,,Total Refugee and people in refugee-like situations,22,7
Japan,Ethiopia,,Asylum-seekers,32,0
Japan,Ethiopia,,Total population of concern,54,7
Japan,Fiji,,Asylum-seekers,0,0
Japan,Fiji,,Total population of concern,0,0
Japan,France,,Asylum-seekers,0,0
Japan,France,,Total population of concern,0,0
Japan,Gabon,,Asylum-seekers,0,0
Japan,Gabon,,Total population of concern,0,0
Japan,Gambia,,Asylum-seekers,16,0
Japan,Gambia,,Total population of concern,16,0
Japan,Ghana,,Asylum-seekers,165,0
Japan,Ghana,,Total population of concern,165,0
Japan,Guatemala,,Asylum-seekers,0,0
Japan,Guatemala,,Total population of concern,0,0
Japan,Guinea,,Asylum-seekers,51,0
Japan,Guinea,,Total population of concern,51,0
Japan,Haiti,,Asylum-seekers,0,0
Japan,Haiti,,Total population of concern,0,0
Japan,Honduras,,Asylum-seekers,0,0
Japan,Honduras,,Total population of concern,0,0
Japan,India,,Asylum-seekers,740,0
Japan,India,,Total population of concern,740,0
Japan,Indonesia,,Asylum-seekers,827,0
Japan,Indonesia,,Total population of concern,827,0
Japan,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,18,6
Japan,Iran (Islamic Rep. of),,Asylum-seekers,91,0
Japan,Iran (Islamic Rep. of),,Total population of concern,109,6
Japan,Iraq,,Total Refugee and people in refugee-like situations,13,0
Japan,Iraq,,Asylum-seekers,5,0
Japan,Iraq,,Total population of concern,18,0
Japan,Jamaica,,Asylum-seekers,0,0
Japan,Jamaica,,Total population of concern,0,0
Japan,Jordan,,Asylum-seekers,0,0
Japan,Jordan,,Total population of concern,0,0
Japan,Kenya,,Asylum-seekers,0,0
Japan,Kenya,,Total population of concern,0,0
Japan,Kyrgyzstan,,Asylum-seekers,0,0
Japan,Kyrgyzstan,,Total population of concern,0,0
Japan,Lao People's Dem. Rep.,,Asylum-seekers,0,0
Japan,Lao People's Dem. Rep.,,Total population of concern,0,0
Japan,Lebanon,,Asylum-seekers,0,0
Japan,Lebanon,,Total population of concern,0,0
Japan,Lesotho,,Asylum-seekers,0,0
Japan,Lesotho,,Total population of concern,0,0
Japan,Liberia,,Asylum-seekers,5,0
Japan,Liberia,,Total population of concern,5,0
Japan,Malaysia,,Asylum-seekers,0,0
Japan,Malaysia,,Total population of concern,0,0
Japan,Mali,,Asylum-seekers,12,0
Japan,Mali,,Total population of concern,12,0
Japan,Mauritius,,Asylum-seekers,0,0
Japan,Mauritius,,Total population of concern,0,0
Japan,Mongolia,,Asylum-seekers,61,0
Japan,Mongolia,,Total population of concern,61,0
Japan,Morocco,,Asylum-seekers,11,0
Japan,Morocco,,Total population of concern,11,0
Japan,Mozambique,,Asylum-seekers,0,0
Japan,Mozambique,,Total population of concern,0,0
Japan,Myanmar,,Total Refugee and people in refugee-like situations,1822,155
Japan,Myanmar,,Asylum-seekers,1575,0
Japan,Myanmar,,Total population of concern,3397,155
Japan,Nepal,,Asylum-seekers,1851,0
Japan,Nepal,,Total population of concern,1851,0
Japan,Nigeria,,Asylum-seekers,139,0
Japan,Nigeria,,Total population of concern,139,0
Japan,Pakistan,,Total Refugee and people in refugee-like situations,35,12
Japan,Pakistan,,Asylum-seekers,388,0
Japan,Pakistan,,Total population of concern,423,12
Japan,Palestinian,,Asylum-seekers,0,0
Japan,Palestinian,,Total population of concern,0,0
Japan,Peru,,Asylum-seekers,9,0
Japan,Peru,,Total population of concern,9,0
Japan,Philippines,,Asylum-seekers,2012,0
Japan,Philippines,,Total population of concern,2012,0
Japan,Poland,,Asylum-seekers,0,0
Japan,Poland,,Total population of concern,0,0
Japan,Rep. of Korea,,Asylum-seekers,0,0
Japan,Rep. of Korea,,Total population of concern,0,0
Japan,Romania,,Asylum-seekers,0,0
Japan,Romania,,Total population of concern,0,0
Japan,Russian Federation,,Asylum-seekers,8,0
Japan,Russian Federation,,Total population of concern,8,0
Japan,Rwanda,,Asylum-seekers,0,0
Japan,Rwanda,,Total population of concern,0,0
Japan,Saudi Arabia,,Asylum-seekers,0,0
Japan,Saudi Arabia,,Total population of concern,0,0
Japan,Senegal,,Asylum-seekers,75,0
Japan,Senegal,,Total population of concern,75,0
Japan,Sierra Leone,,Asylum-seekers,6,0
Japan,Sierra Leone,,Total population of concern,6,0
Japan,Singapore,,Asylum-seekers,0,0
Japan,Singapore,,Total population of concern,0,0
Japan,Somalia,,Total Refugee and people in refugee-like situations,5,0
Japan,Somalia,,Total population of concern,5,0
Japan,South Africa,,Asylum-seekers,6,0
Japan,South Africa,,Total population of concern,6,0
Japan,Spain,,Asylum-seekers,0,0
Japan,Spain,,Total population of concern,0,0
Japan,Sri Lanka,,Total Refugee and people in refugee-like situations,61,20
Japan,Sri Lanka,,Asylum-seekers,1933,0
Japan,Sri Lanka,,Total population of concern,1994,20
Japan,Stateless,,Total Refugee and people in refugee-like situations,9,0
Japan,Stateless,,Asylum-seekers,0,0
Japan,Stateless,,Persons under UNHCR's statelessness mandate,626,0
Japan,Stateless,,Total population of concern,637,0
Japan,Sudan,,Total Refugee and people in refugee-like situations,15,5
Japan,Sudan,,Asylum-seekers,16,0
Japan,Sudan,,Total population of concern,31,5
Japan,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,63,21
Japan,Syrian Arab Rep.,,Asylum-seekers,7,0
Japan,Syrian Arab Rep.,,Total population of concern,70,21
Japan,Tajikistan,,Asylum-seekers,0,0
Japan,Tajikistan,,Total population of concern,0,0
Japan,Thailand,,Asylum-seekers,40,0
Japan,Thailand,,Total population of concern,40,0
Japan,Togo,,Asylum-seekers,0,0
Japan,Togo,,Total population of concern,0,0
Japan,Tonga,,Asylum-seekers,0,0
Japan,Tonga,,Total population of concern,0,0
Japan,Tunisia,,Asylum-seekers,71,0
Japan,Tunisia,,Total population of concern,71,0
Japan,Turkey,,Total Refugee and people in refugee-like situations,40,13
Japan,Turkey,,Asylum-seekers,1485,0
Japan,Turkey,,Total population of concern,1525,13
Japan,Uganda,,Asylum-seekers,70,0
Japan,Uganda,,Total population of concern,70,0
Japan,Ukraine,,Asylum-seekers,7,0
Japan,Ukraine,,Total population of concern,7,0
Japan,United Rep. of Tanzania,,Asylum-seekers,23,0
Japan,United Rep. of Tanzania,,Total population of concern,23,0
Japan,United States of America,,Asylum-seekers,6,0
Japan,United States of America,,Total population of concern,6,0
Japan,Uzbekistan,,Asylum-seekers,0,0
Japan,Uzbekistan,,Total population of concern,0,0
Japan,Various,,Total Refugee and people in refugee-like situations,248,82
Japan,Various,,Asylum-seekers,10570,0
Japan,Various,,Total population of concern,10818,82
Japan,Venezuela (Bolivarian Republic of),,Asylum-seekers,0,0
Japan,Venezuela (Bolivarian Republic of),,Total population of concern,0,0
Japan,Viet Nam,,Total Refugee and people in refugee-like situations,0,0
Japan,Viet Nam,,Asylum-seekers,807,0
Japan,Viet Nam,,Total population of concern,809,0
Japan,Yemen,,Asylum-seekers,0,0
Japan,Yemen,,Total population of concern,0,0
Japan,Zimbabwe,,Asylum-seekers,5,0
Japan,Zimbabwe,,Total population of concern,5,0
Jordan,Afghanistan,,Total Refugee and people in refugee-like situations,8,8
Jordan,Afghanistan,,Asylum-seekers,9,9
Jordan,Afghanistan,,Total population of concern,17,17
Jordan,Algeria,,Total Refugee and people in refugee-like situations,0,0
Jordan,Algeria,,Asylum-seekers,7,7
Jordan,Algeria,,Total population of concern,9,9
Jordan,Armenia,,Asylum-seekers,0,0
Jordan,Armenia,,Total population of concern,0,0
Jordan,Bangladesh,,Asylum-seekers,7,7
Jordan,Bangladesh,,Total population of concern,7,7
Jordan,Bosnia and Herzegovina,,Total Refugee and people in refugee-like situations,9,9
Jordan,Bosnia and Herzegovina,,Total population of concern,9,9
Jordan,Burkina Faso,,Asylum-seekers,0,0
Jordan,Burkina Faso,,Total population of concern,0,0
Jordan,Cameroon,,Total Refugee and people in refugee-like situations,0,0
Jordan,Cameroon,,Total population of concern,0,0
Jordan,Central African Rep.,,Total Refugee and people in refugee-like situations,0,0
Jordan,Central African Rep.,,Total population of concern,0,0
Jordan,Chad,,Asylum-seekers,18,18
Jordan,Chad,,Total population of concern,18,18
Jordan,"Congo, Republic of",,Total Refugee and people in refugee-like situations,0,0
Jordan,"Congo, Republic of",,Total population of concern,0,0
Jordan,Egypt,,Total Refugee and people in refugee-like situations,71,71
Jordan,Egypt,,Asylum-seekers,437,437
Jordan,Egypt,,Total population of concern,508,508
Jordan,Eritrea,,Total Refugee and people in refugee-like situations,22,22
Jordan,Eritrea,,Asylum-seekers,21,21
Jordan,Eritrea,,Total population of concern,43,43
Jordan,Ethiopia,,Total Refugee and people in refugee-like situations,7,7
Jordan,Ethiopia,,Asylum-seekers,48,48
Jordan,Ethiopia,,Total population of concern,55,55
Jordan,Ghana,,Asylum-seekers,8,8
Jordan,Ghana,,Total population of concern,8,8
Jordan,India,,Asylum-seekers,8,8
Jordan,India,,Total population of concern,8,8
Jordan,Indonesia,,Total Refugee and people in refugee-like situations,0,0
Jordan,Indonesia,,Asylum-seekers,0,0
Jordan,Indonesia,,Total population of concern,0,0
Jordan,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,7,7
Jordan,Iran (Islamic Rep. of),,Asylum-seekers,5,5
Jordan,Iran (Islamic Rep. of),,Total population of concern,12,12
Jordan,Iraq,,Total Refugee and people in refugee-like situations,34027,34027
Jordan,Iraq,,Asylum-seekers,29794,29794
Jordan,Iraq,,Total population of concern,63821,63821
Jordan,Kazakhstan,,Asylum-seekers,0,0
Jordan,Kazakhstan,,Total population of concern,0,0
Jordan,Kenya,,Asylum-seekers,27,27
Jordan,Kenya,,Total population of concern,27,27
Jordan,Kyrgyzstan,,Asylum-seekers,0,0
Jordan,Kyrgyzstan,,Total population of concern,0,0
Jordan,Lebanon,,Total Refugee and people in refugee-like situations,0,0
Jordan,Lebanon,,Asylum-seekers,109,109
Jordan,Lebanon,,Total population of concern,112,112
Jordan,Liberia,,Asylum-seekers,0,0
Jordan,Liberia,,Total population of concern,0,0
Jordan,Libya,,Total Refugee and people in refugee-like situations,20,20
Jordan,Libya,,Asylum-seekers,189,189
Jordan,Libya,,Total population of concern,209,209
Jordan,Mali,,Asylum-seekers,0,0
Jordan,Mali,,Total population of concern,0,0
Jordan,Morocco,,Total Refugee and people in refugee-like situations,0,0
Jordan,Morocco,,Asylum-seekers,15,15
Jordan,Morocco,,Total population of concern,16,16
Jordan,Myanmar,,Asylum-seekers,0,0
Jordan,Myanmar,,Total population of concern,0,0
Jordan,Nigeria,,Asylum-seekers,9,9
Jordan,Nigeria,,Total population of concern,9,9
Jordan,Oman,,Total Refugee and people in refugee-like situations,0,0
Jordan,Oman,,Asylum-seekers,0,0
Jordan,Oman,,Total population of concern,0,0
Jordan,Pakistan,,Total Refugee and people in refugee-like situations,0,0
Jordan,Pakistan,,Asylum-seekers,19,19
Jordan,Pakistan,,Total population of concern,23,23
Jordan,Philippines,,Total Refugee and people in refugee-like situations,0,0
Jordan,Philippines,,Asylum-seekers,6,6
Jordan,Philippines,,Total population of concern,7,7
Jordan,Rep. of Moldova,,Asylum-seekers,0,0
Jordan,Rep. of Moldova,,Total population of concern,0,0
Jordan,Russian Federation,,Total Refugee and people in refugee-like situations,25,25
Jordan,Russian Federation,,Asylum-seekers,21,21
Jordan,Russian Federation,,Total population of concern,46,46
Jordan,Saudi Arabia,,Asylum-seekers,6,6
Jordan,Saudi Arabia,,Total population of concern,6,6
Jordan,Senegal,,Asylum-seekers,0,0
Jordan,Senegal,,Total population of concern,0,0
Jordan,Serbia and Kosovo: S/RES/1244 (1999),,Asylum-seekers,0,0
Jordan,Serbia and Kosovo: S/RES/1244 (1999),,Total population of concern,0,0
Jordan,Somalia,,Total Refugee and people in refugee-like situations,643,643
Jordan,Somalia,,Asylum-seekers,172,172
Jordan,Somalia,,Total population of concern,815,815
Jordan,South Sudan,,Total Refugee and people in refugee-like situations,12,12
Jordan,South Sudan,,Asylum-seekers,0,0
Jordan,South Sudan,,Total population of concern,14,14
Jordan,Sri Lanka,,Total Refugee and people in refugee-like situations,5,5
Jordan,Sri Lanka,,Asylum-seekers,6,6
Jordan,Sri Lanka,,Total population of concern,11,11
Jordan,Stateless,,Total Refugee and people in refugee-like situations,11,11
Jordan,Stateless,,Asylum-seekers,294,294
Jordan,Stateless,,Total population of concern,305,305
Jordan,Sudan,,Total Refugee and people in refugee-like situations,2382,2382
Jordan,Sudan,,Asylum-seekers,1505,1505
Jordan,Sudan,,Total population of concern,3887,3887
Jordan,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,654617,654617
Jordan,Syrian Arab Rep.,,Total population of concern,654617,654617
Jordan,Tajikistan,,Asylum-seekers,0,0
Jordan,Tajikistan,,Total population of concern,0,0
Jordan,Tunisia,,Total Refugee and people in refugee-like situations,8,8
Jordan,Tunisia,,Asylum-seekers,24,24
Jordan,Tunisia,,Total population of concern,32,32
Jordan,Turkey,,Asylum-seekers,8,8
Jordan,Turkey,,Total population of concern,8,8
Jordan,Uganda,,Total Refugee and people in refugee-like situations,0,0
Jordan,Uganda,,Total population of concern,0,0
Jordan,Ukraine,,Total Refugee and people in refugee-like situations,0,0
Jordan,Ukraine,,Asylum-seekers,31,31
Jordan,Ukraine,,Total population of concern,33,33
Jordan,United Arab Emirates,,Asylum-seekers,0,0
Jordan,United Arab Emirates,,Total population of concern,0,0
Jordan,Uzbekistan,,Asylum-seekers,0,0
Jordan,Uzbekistan,,Total population of concern,0,0
Jordan,Viet Nam,,Asylum-seekers,0,0
Jordan,Viet Nam,,Total population of concern,0,0
Jordan,Yemen,,Total Refugee and people in refugee-like situations,347,347
Jordan,Yemen,,Asylum-seekers,8039,8039
Jordan,Yemen,,Total population of concern,8386,8386
Kazakhstan,Afghanistan,,Total Refugee and people in refugee-like situations,569,569
Kazakhstan,Afghanistan,,Asylum-seekers,151,151
Kazakhstan,Afghanistan,,Total population of concern,720,720
